time,sensor,value
1450540788,freezer,-10.375,
1450540799,fridge,8.25,
1450540800,freezer,-10.4375,
1450540810,fridge,8.1875,
1450540811,freezer,-10.4375,
1450540822,fridge,8.1875,
1450540822,freezer,-10.4375,
1450540833,fridge,8.1875,
1450540834,freezer,-10.4375,
1450540844,fridge,8.1875,
1450540845,freezer,-10.4375,
1450540856,fridge,8.1875,
1450540856,freezer,-10.4375,
1450540867,fridge,8.1875,
1450540868,freezer,-10.5,
1450540878,fridge,8.1875,
1450540879,freezer,-10.5,
1450540890,fridge,8.125,
1450540890,freezer,-10.5,
1450540901,fridge,8.3125,
1450540902,freezer,-10.5,
1450540912,fridge,8.375,
1450540913,freezer,-10.25,
1450540924,fridge,8.4375,
1450540924,freezer,-8,
1450540935,fridge,8.5,
1450540936,freezer,-8.1875,
1450540946,fridge,8.5,
1450540947,freezer,-8.375,
1450540958,fridge,8.5,
1450540958,freezer,-8.5625,
1450540969,fridge,8.5,
1450540970,freezer,-8.6875,
1450540980,fridge,8.5,
1450540981,freezer,-8.875,
1450540992,fridge,8.5,
1450540992,freezer,-9,
1450541003,fridge,8.5,
1450541004,freezer,-9.125,
1450541014,fridge,8.5,
1450541015,freezer,-9.1875,
1450541026,fridge,8.5,
1450541026,freezer,-9.3125,
1450541037,fridge,8.5,
1450541038,freezer,-9.4375,
1450541048,fridge,8.5,
1450541049,freezer,-9.5625,
1450541060,fridge,8.5,
1450541060,freezer,-9.625,
1450541071,fridge,8.5,
1450541072,freezer,-9.75,
1450541082,fridge,8.4375,
1450541083,freezer,-9.8125,
1450541094,fridge,8.4375,
1450541094,freezer,-9.9375,
1450541105,fridge,8.4375,
1450541106,freezer,-10,
1450541116,fridge,8.4375,
1450541117,freezer,-10.0625,
1450541128,fridge,8.4375,
1450541128,freezer,-10.1875,
1450541139,fridge,8.4375,
1450541140,freezer,-10.25,
1450541150,fridge,8.4375,
1450541151,freezer,-10.3125,
1450541162,fridge,8.375,
1450541162,freezer,-10.375,
1450541173,fridge,8.4375,
1450541174,freezer,-10.4375,
1450541184,fridge,8.4375,
1450541185,freezer,-10.5,
1450541196,fridge,8.375,
1450541196,freezer,-10.5625,
1450541207,fridge,8.375,
1450541208,freezer,-10.625,
1450541218,fridge,8.375,
1450541219,freezer,-10.625,
1450541363,esquilo,starting,
1450541364,fridge,8.3125,
1450541364,freezer,-11.3125,
1450541375,fridge,8.25,
1450542039,esquilo,starting,
1450542040,fridge,8.3125,
1450542041,freezer,-11.375,
1450542051,fridge,8.3125,
1450542052,freezer,-11.25,
1450542063,fridge,8.375,
1450542063,freezer,-11.1875,
1450542074,fridge,8.375,
1450542075,freezer,-11.125,
1450542085,fridge,8.4375,
1450542086,freezer,-11.0625,
1450542097,fridge,8.4375,
1450542097,freezer,-11,
1450542108,fridge,8.4375,
1450542109,freezer,-10.875,
1450542119,fridge,8.5,
1450542120,freezer,-10.8125,
1450542131,fridge,8.5,
1450542131,freezer,-10.75,
1450542142,fridge,8.5,
1450542143,freezer,-10.6875,
1450552691,esquilo,starting,
1450552692,fridge,8.4375,
1450552692,freezer,-6.125,
1450552703,fridge,8.4375,
1450552704,freezer,-6.0625,
1450552714,fridge,8.5,
1450552715,freezer,-5.875,
1450552726,fridge,8.5,
1450552726,freezer,-5.8125,
1450552737,fridge,8.5,
1450552738,freezer,-5.6875,
1450552748,fridge,8.5625,
1450552749,freezer,-5.5625,
1450552760,fridge,8.5625,
1450552760,freezer,-5.4375,
1450552771,fridge,8.625,
1450552772,freezer,-5.3125,
1450552782,fridge,8.625,
1450552783,freezer,-5.25,
1450552794,fridge,8.6875,
1450552794,freezer,-5.125,
1450552805,fridge,8.6875,
1450552806,freezer,-5,
1450552816,fridge,8.6875,
1450552817,freezer,-4.875,
1450552828,fridge,8.75,
1450552828,freezer,-4.8125,
1450552839,fridge,8.75,
1450552840,freezer,-4.6875,
1450552850,fridge,8.75,
1450552851,freezer,-4.625,
1450552862,fridge,8.8125,
1450552862,freezer,-4.5,
1450552873,fridge,8.8125,
1450552874,freezer,-4.4375,
1450552884,fridge,8.8125,
1450552885,freezer,-4.3125,
1450552896,fridge,8.875,
1450552896,freezer,-4.25,
1450552907,fridge,8.875,
1450552908,freezer,-4.125,
1450552918,fridge,8.9375,
1450552919,freezer,-4.0625,
1450552930,fridge,8.9375,
1450552930,freezer,-3.9375,
1450552941,fridge,8.9375,
1450552942,freezer,-3.8125,
1450552952,fridge,9,
1450552953,freezer,-3.6875,
1450552964,fridge,9,
1450552964,freezer,-3.5625,
1450552975,fridge,9.0625,
1450552976,freezer,-3.5,
1450552986,fridge,9.0625,
1450552987,freezer,-3.375,
1450552998,fridge,9.0625,
1450552998,freezer,-3.3125,
1450553009,fridge,9.0625,
1450553010,freezer,-3.125,
1450553020,fridge,9.125,
1450553021,freezer,-3.0625,
1450553032,fridge,9.1875,
1450553032,freezer,-2.9375,
1450553043,fridge,9.1875,
1450553044,freezer,-2.8125,
1450553054,fridge,9.1875,
1450553055,freezer,-2.75,
1450553066,fridge,9.25,
1450553066,freezer,-2.625,
1450553077,fridge,9.25,
1450553078,freezer,-2.5625,
1450553088,fridge,9.25,
1450553089,freezer,-2.4375,
1450553100,fridge,9.3125,
1450553100,freezer,-2.3125,
1450553111,fridge,9.3125,
1450553112,freezer,-2.25,
1450553122,fridge,9.375,
1450553123,freezer,-2.125,
1450553134,fridge,9.375,
1450553134,freezer,-2.0625,
1450553145,fridge,9.375,
1450553146,freezer,-1.9375,
1450553156,fridge,9.4375,
1450553157,freezer,-1.875,
1450553168,fridge,9.4375,
1450553168,freezer,-1.75,
1450553179,fridge,9.4375,
1450553180,freezer,-1.6875,
1450553190,fridge,9.5,
1450553191,freezer,-1.625,
1450553202,fridge,9.5,
1450553202,freezer,-1.5,
1450553213,fridge,9.5,
1450553214,freezer,-1.375,
1450553224,fridge,9.5625,
1450553225,freezer,-1.3125,
1450553236,fridge,9.5625,
1450553236,freezer,-1.25,
1450553247,fridge,9.625,
1450553248,freezer,-1.125,
1450553258,fridge,9.625,
1450553259,freezer,-1.0625,
1450553270,fridge,9.625,
1450553270,freezer,-0.9375,
1450553281,fridge,9.6875,
1450553282,freezer,-0.875,
1450553292,fridge,9.6875,
1450553293,freezer,-0.8125,
1450553304,fridge,9.6875,
1450553304,freezer,-0.6875,
